"11br -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and gender, whole population and persons aged 15-64, 1971-2020"

"Gender","Underlying cause of death (time series classification)","Year","Deaths, whole population"
"Total","22 Other neoplasms (D00-D48)","2015",313
"Total","22 Other neoplasms (D00-D48)","2016",360
"Total","22 Other neoplasms (D00-D48)","2017",376
"Total","22 Other neoplasms (D00-D48)","2018",344
"Total","22 Other neoplasms (D00-D48)","2019",368
"Total","22 Other neoplasms (D00-D48)","2020",413
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1971",751
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1972",754
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1973",792
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1974",876
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1975",930
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1976",750
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1977",825
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1978",741
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1979",658
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1980",741
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1981",599
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1982",541
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1983",596
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1984",566
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1985",568
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1986",565
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1987",585
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1988",624
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1989",587
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1990",671
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1991",631
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1992",650
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1993",686
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1994",610
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1995",635
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1996",670
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1997",644
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1998",626
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","1999",624
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2000",664
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2001",610
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2002",641
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2003",618
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2004",631
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2005",631
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2006",592
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2007",640
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2008",667
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2009",563
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2010",606
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2011",597
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2012",656
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2013",632
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2014",679
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2015",637
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2016",738
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2017",756
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2018",742
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2019",803
"Total","23-24 Endocrine, nutritional and metabolic diseases (E00-E90)","2020",887
"Total","23 Diabetes mellitus (E10-E14)","1971",648
"Total","23 Diabetes mellitus (E10-E14)","1972",648
"Total","23 Diabetes mellitus (E10-E14)","1973",676
"Total","23 Diabetes mellitus (E10-E14)","1974",766
"Total","23 Diabetes mellitus (E10-E14)","1975",817
"Total","23 Diabetes mellitus (E10-E14)","1976",653
"Total","23 Diabetes mellitus (E10-E14)","1977",723
"Total","23 Diabetes mellitus (E10-E14)","1978",627
"Total","23 Diabetes mellitus (E10-E14)","1979",558
"Total","23 Diabetes mellitus (E10-E14)","1980",635
"Total","23 Diabetes mellitus (E10-E14)","1981",519
"Total","23 Diabetes mellitus (E10-E14)","1982",486
"Total","23 Diabetes mellitus (E10-E14)","1983",512
"Total","23 Diabetes mellitus (E10-E14)","1984",500
"Total","23 Diabetes mellitus (E10-E14)","1985",490
"Total","23 Diabetes mellitus (E10-E14)","1986",487
"Total","23 Diabetes mellitus (E10-E14)","1987",514
"Total","23 Diabetes mellitus (E10-E14)","1988",543
"Total","23 Diabetes mellitus (E10-E14)","1989",513
"Total","23 Diabetes mellitus (E10-E14)","1990",593
"Total","23 Diabetes mellitus (E10-E14)","1991",550
"Total","23 Diabetes mellitus (E10-E14)","1992",578
"Total","23 Diabetes mellitus (E10-E14)","1993",595
"Total","23 Diabetes mellitus (E10-E14)","1994",536
"Total","23 Diabetes mellitus (E10-E14)","1995",567
"Total","23 Diabetes mellitus (E10-E14)","1996",593
"Total","23 Diabetes mellitus (E10-E14)","1997",547
"Total","23 Diabetes mellitus (E10-E14)","1998",556
"Total","23 Diabetes mellitus (E10-E14)","1999",549
"Total","23 Diabetes mellitus (E10-E14)","2000",572
"Total","23 Diabetes mellitus (E10-E14)","2001",524
"Total","23 Diabetes mellitus (E10-E14)","2002",545
"Total","23 Diabetes mellitus (E10-E14)","2003",528
"Total","23 Diabetes mellitus (E10-E14)","2004",547
"Total","23 Diabetes mellitus (E10-E14)","2005",519
"Total","23 Diabetes mellitus (E10-E14)","2006",473
"Total","23 Diabetes mellitus (E10-E14)","2007",530
"Total","23 Diabetes mellitus (E10-E14)","2008",540
"Total","23 Diabetes mellitus (E10-E14)","2009",436
"Total","23 Diabetes mellitus (E10-E14)","2010",456
"Total","23 Diabetes mellitus (E10-E14)","2011",478
"Total","23 Diabetes mellitus (E10-E14)","2012",491
"Total","23 Diabetes mellitus (E10-E14)","2013",488
"Total","23 Diabetes mellitus (E10-E14)","2014",498
"Total","23 Diabetes mellitus (E10-E14)","2015",483
"Total","23 Diabetes mellitus (E10-E14)","2016",542
"Total","23 Diabetes mellitus (E10-E14)","2017",566
"Total","23 Diabetes mellitus (E10-E14)","2018",541
"Total","23 Diabetes mellitus (E10-E14)","2019",595
"Total","23 Diabetes mellitus (E10-E14)","2020",667
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1971",103
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1972",106
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1973",116
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1974",110
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1975",113
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1976",97
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1977",102
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1978",114
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1979",100
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1980",106
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1981",80
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1982",55
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1983",84
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1984",66
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1985",78
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1986",78
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1987",71
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1988",81
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1989",74
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1990",78
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1991",81
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1992",72
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1993",91
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1994",74
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1995",68
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1996",77
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1997",97
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1998",70
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","1999",75
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2000",92
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2001",86
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2002",96
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2003",90
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2004",84
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2005",112
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2006",119
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2007",110
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2008",127
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2009",127
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2010",150
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2011",119
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2012",165
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2013",144
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2014",181
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2015",154
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2016",196
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2017",190
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2018",201
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2019",208
"Total","24 Other endocrine, nutritional and metabolic diseases (E00-E09, E15-E90)","2020",220
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1971",246
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1972",238
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1973",191
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1974",229
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1975",232
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1976",191
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1977",111
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1978",245
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1979",256
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1980",253
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1981",497
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1982",613
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1983",764
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1984",761
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1985",1004
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1986",1160
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1987",1704
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1988",1976
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1989",2107
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1990",2239
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1991",2369
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1992",2427
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1993",2838
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1994",2657
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1995",2874
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1996",2904
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1997",3235
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1998",3264
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","1999",3395
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2000",3428
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2001",3550
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2002",4080
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2003",4037
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2004",3962
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2005",4142
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2006",4494
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2007",4746
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2008",4964
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2009",5489
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2010",6057
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2011",6200
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2012",7056
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2013",7543
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2014",8116
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2015",8580
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2016",9175
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2017",9390
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2018",10120
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2019",10153
"Total","25 Dementia, Alzheimers disease (F01, F03, G30, R54)","2020",10673
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1971",431
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1972",484
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1973",433
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1974",489
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1975",498
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1976",494
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1977",521
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1978",492
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1979",423
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1980",505
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1981",503
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1982",510
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1983",525
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1984",486
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1985",565
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1986",538
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1987",587
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1988",623
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1989",637
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1990",601
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1991",670
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1992",605
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1993",692
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1994",610
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1995",678
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1996",762
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1997",817
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1998",789
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","1999",884
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2000",772
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2001",875
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2002",974
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2003",973
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2004",966
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2005",1005
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2006",1045
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2007",1053
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2008",1167
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2009",1149
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2010",1280
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2011",1272
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2012",1459
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2013",1368
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2014",1645
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2015",1624
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2016",1699
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2017",1785
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2018",1872
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2019",1933
"Total","26 Other diseases of the nervous system and sense organs excl. alcohol-related","2020",2076
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1971",24144
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1972",23158
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1973",23036
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1974",23693
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1975",22876
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1976",23801
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1977",23331
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1978",23441
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1979",23331
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1980",23016
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1981",23919
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1982",23331
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1983",23718
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1984",23801
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1985",25303
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1986",24642
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1987",24317
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1988",24208
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1989",23801
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1990",23988
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1991",23688
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1992",23681
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1993",23820
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1994",22139
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1995",22662
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1996",21917
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1997",21567
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1998",21417
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","1999",21402
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2000",21304
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2001",20689
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2002",21045
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2003",20667
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2004",19642
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2005",19649
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2006",19877
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2007",20193
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2008",20144
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2009",20235
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2010",20475
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2011",20157
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2012",20210
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2013",19548
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2014",19555
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2015",19365
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2016",19665
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2017",19077
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2018",18827
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2019",18267
"Total","27-30 Diseases of the circulatory system excl. alcohol-related (I00-I425, I427-I99)","2020",18496
"Total","27 Ischaemic heart diseases (I20-I25)","1971",11850
"Total","27 Ischaemic heart diseases (I20-I25)","1972",11564
"Total","27 Ischaemic heart diseases (I20-I25)","1973",11860
"Total","27 Ischaemic heart diseases (I20-I25)","1974",12389
"Total","27 Ischaemic heart diseases (I20-I25)","1975",12166
"Total","27 Ischaemic heart diseases (I20-I25)","1976",13015
"Total","27 Ischaemic heart diseases (I20-I25)","1977",12815
"Total","27 Ischaemic heart diseases (I20-I25)","1978",13014
"Total","27 Ischaemic heart diseases (I20-I25)","1979",13178
"Total","27 Ischaemic heart diseases (I20-I25)","1980",12981
"Total","27 Ischaemic heart diseases (I20-I25)","1981",13267
"Total","27 Ischaemic heart diseases (I20-I25)","1982",13270
"Total","27 Ischaemic heart diseases (I20-I25)","1983",13422
"Total","27 Ischaemic heart diseases (I20-I25)","1984",13772
"Total","27 Ischaemic heart diseases (I20-I25)","1985",14533
"Total","27 Ischaemic heart diseases (I20-I25)","1986",14039
"Total","27 Ischaemic heart diseases (I20-I25)","1987",14188
"Total","27 Ischaemic heart diseases (I20-I25)","1988",14220
"Total","27 Ischaemic heart diseases (I20-I25)","1989",14068
"Total","27 Ischaemic heart diseases (I20-I25)","1990",14090
"Total","27 Ischaemic heart diseases (I20-I25)","1991",13782
"Total","27 Ischaemic heart diseases (I20-I25)","1992",14194
"Total","27 Ischaemic heart diseases (I20-I25)","1993",14237
"Total","27 Ischaemic heart diseases (I20-I25)","1994",13360
"Total","27 Ischaemic heart diseases (I20-I25)","1995",13676
"Total","27 Ischaemic heart diseases (I20-I25)","1996",12970
"Total","27 Ischaemic heart diseases (I20-I25)","1997",12611
"Total","27 Ischaemic heart diseases (I20-I25)","1998",12822
"Total","27 Ischaemic heart diseases (I20-I25)","1999",12981
"Total","27 Ischaemic heart diseases (I20-I25)","2000",12900
"Total","27 Ischaemic heart diseases (I20-I25)","2001",12433
"Total","27 Ischaemic heart diseases (I20-I25)","2002",12730
"Total","27 Ischaemic heart diseases (I20-I25)","2003",12306
"Total","27 Ischaemic heart diseases (I20-I25)","2004",11624
"Total","27 Ischaemic heart diseases (I20-I25)","2005",11728
"Total","27 Ischaemic heart diseases (I20-I25)","2006",11732
"Total","27 Ischaemic heart diseases (I20-I25)","2007",11887
"Total","27 Ischaemic heart diseases (I20-I25)","2008",11761
"Total","27 Ischaemic heart diseases (I20-I25)","2009",11534
"Total","27 Ischaemic heart diseases (I20-I25)","2010",11767
"Total","27 Ischaemic heart diseases (I20-I25)","2011",11169
"Total","27 Ischaemic heart diseases (I20-I25)","2012",11099
"Total","27 Ischaemic heart diseases (I20-I25)","2013",10552
"Total","27 Ischaemic heart diseases (I20-I25)","2014",10337
"Total","27 Ischaemic heart diseases (I20-I25)","2015",10209
"Total","27 Ischaemic heart diseases (I20-I25)","2016",10183
"Total","27 Ischaemic heart diseases (I20-I25)","2017",9861
"Total","27 Ischaemic heart diseases (I20-I25)","2018",9453
"Total","27 Ischaemic heart diseases (I20-I25)","2019",8630
"Total","27 Ischaemic heart diseases (I20-I25)","2020",8600
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1971",3710
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1972",3505
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1973",3298
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1974",3387
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1975",2969
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1976",3023
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1977",2928
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1978",2640
"Total","28 Other heart diseases excl. rheumatic and alcohol-related (I30-I425, I427-I52)","1979",2775
